threshold,value
0.000079119,0.000000000
0.000653928,0.001519757
0.001274482,0.003350084
0.002335331,0.003672420
0.004128583,0.005121043
0.006440450,0.005394191
0.006992160,0.007431874
0.007256229,0.009278226
0.008987601,0.009468917
0.009551179,0.009609949
0.009991299,0.010610080
0.010077175,0.012496509
0.013783484,0.015015742
0.015186964,0.015625000
0.015210091,0.016751269
0.017464879,0.020145817
0.020185131,0.024056862
0.021397564,0.028728847
0.023429522,0.029118774
0.024639465,0.029866859
0.028027313,0.036496350
0.028599724,0.040175310
0.030891016,0.047764228
0.034994262,0.051136364
0.036759729,0.053333333
0.038426734,0.055962343
0.045368468,0.057692308
0.049535081,0.059322034
0.050613628,0.060975610
0.051044740,0.061383929
0.056131777,0.061674009
0.057495970,0.063758389
0.072393864,0.066371681
0.080536212,0.083650190
0.087974332,0.088926174
0.098420202,0.089552239
0.099827699,0.155172414
0.102164455,0.156028369
0.156795944,0.171253823
0.187840298,0.200000000
0.188633033,0.212643678
0.210719427,0.272200772
0.340185797,0.290322581
0.360191418,0.294117647
0.376740886,0.333333333
0.386546893,0.416058394
0.479299794,0.552380952
0.584128341,0.615384615
0.605359171,0.642857143
0.648096776,0.655555556
0.733058914,0.755555556
0.773512707,0.809523810
0.795774717,0.814814815
0.871091482,0.857142857
0.886020624,0.866666667
0.897533450,0.875000000
0.998701916,1.000000000
